iata;type;name;coordinates;timezone;parent_name;City
KMP;city;Keetmanshoop;-26.57449:18.132919;Africa/Windhoek;Namibia;Keetmanshoop
MKR;city;Meekatharra;-26.5912076:118.4967489;Australia/Perth;Australia;Meekatharra
WUN;city;Wiluna;-26.5970705:120.224719;Australia/Perth;Australia;Wiluna
ULP;city;Quilpie;-26.6135582:144.2687661;Australia/Brisbane;Australia;Quilpie
NBR;city;Nambour;-26.6293532:152.9593597;Australia/Brisbane;Australia;Nambour
MTS;city;Manzini;-26.644588:31.3541631;Africa/Mbabane;Swaziland;Manzini
LUD;city;Luderitz;-26.6458333:15.1538889;Africa/Windhoek;Namibia;Luderitz
MCY;city;Sunshine Coast;-26.6524771:153.0902422;Australia/Brisbane;Australia;Sunshine Coast
TXR;city;Tanbar;-26.6724995:141.788439;Australia/Brisbane;Australia;Tanbar
AAB;city;Arrabury;-26.69:141.05;Australia/Brisbane;Australia;Arrabury
CCL;city;Chinchilla;-26.7394351:150.6250631;Australia/Brisbane;Australia;Chinchilla
ODL;city;Cordillo Downs;-26.75:140.64;Australia/Adelaide;Australia;Cordillo Downs
PRQ;city;Pres. Roque Saenz Pena;-26.76:-60.49;America/Argentina/Ushuaia;Argentina;Pres. Roque Saenz Pena
CFC;city;Cacador;-26.7756812:-51.0155139;America/Sao_Paulo;Brazil;Cacador
CUD;city;Caloundra;-26.8042574:153.1244868;Australia/Brisbane;Australia;Caloundra
SZQ;city;Saenz Pena;-26.82:-60.45;America/Argentina/Buenos_Aires;Argentina;Saenz Pena
KXE;city;Klerksdorp;-26.867121:26.65802;Africa/Johannesburg;South Africa;Klerksdorp
PIL;city;Pilar;-26.867689:-58.296188;America/Asuncion;Paraguay;Pilar
IDK;city;Indulkana;-26.8694439:133.3793185;Australia/Darwin;Australia;Indulkana
AXE;city;Xanxere;-26.8830707:-52.3999885;America/Sao_Paulo;Brazil;Xanxere
NVT;city;Navegantes;-26.8993946:-48.6552802;America/Sao_Paulo;Brazil;Navegantes
BNU;city;Blumenau;-26.9187523:-49.0660252;America/Sao_Paulo;Brazil;Blumenau
TUC;city;Tucuman;-26.9468463:-65.2857082;America/Argentina/Tucuman;Argentina;Tucuman
GTS;city;Granites;-26.95:133.6;Australia/Darwin;Australia;Granites
VRU;city;Vryburg;-26.9584048:24.7298615;Africa/Johannesburg;South Africa;Vryburg
CFH;city;Clifton Hills;-27.02:138.89;Australia/Adelaide;Australia;Clifton Hills
DHD;city;Durham Downs;-27.08:141.9;Australia/Brisbane;Australia;Durham Downs
XAP;city;Chapeco;-27.0967814:-52.6186069;America/Sao_Paulo;Brazil;Chapeco
IPC;city;Easter Island;-27.1211919:-109.3664237;Pacific/Easter;Chile;Easter Island
TAN;city;Tangalooma;-27.1777716:153.3748819;Australia/Brisbane;Australia;Tangalooma
JCB;city;Joacaba;-27.1784435:-51.5050139;America/Sao_Paulo;Brazil;Joacaba
DBY;city;Dalby;-27.1832863:151.2637479;Australia/Brisbane;Australia;Dalby
CNT;city;Charata;-27.2179902:-61.1873617;America/Argentina/Cordoba;Argentina;Charata
CCI;city;Concordia;-27.2342468:-52.0285877;America/Fortaleza;Brazil;Concordia
XTR;city;Tara;-27.2769335:150.4597896;Australia/Sydney;Australia;Tara
KYF;city;Yeelirrie;-27.28:120.1;Australia/Perth;Australia;Yeelirrie
WME;city;Mount Keith;-27.29:120.55;Australia/Perth;Australia;Mount Keith
MRP;city;Marla;-27.3052202:133.622037;Asia/Kolkata;Australia;Marla
ENO;city;Encarnacion;-27.339758:-55.866362;America/Asuncion;Paraguay;Encarnacion
CPO;city;Copiapo;-27.35989:-70.332474;America/Santiago;Chile;Copiapo
PSS;city;Posadas;-27.3621374:-55.9008746;America/Argentina/Cordoba;Argentina;Posadas
BBE;city;Big Bell;-27.42:117.67;Australia/Perth;Australia;Big Bell
OKY;city;Oakey;-27.4339554:151.7209352;Australia/Brisbane;Australia;Oakey
CUY;city;Cue;-27.45:117.92;Australia/Perth;Australia;Cue
RES;city;Resistencia;-27.451656:-58.986252;America/Argentina/Cordoba;Argentina;Resistencia
KMH;city;Kuruman;-27.46:23.41;Africa/Johannesburg;South Africa;Kuruman
BNE;city;Brisbane;-27.4709331:153.0235024;Australia/Brisbane;Australia;Brisbane
CNQ;city;Corrientes;-27.4712257:-58.8395844;America/Argentina/Cordoba;Argentina;Corrientes
NMR;city;Nappa Merry;-27.55:141.16;Australia/Lindeman;Australia;Nappa Merry
RVO;city;Reivilo;-27.55:24.17;Africa/Johannesburg;South Africa;Reivilo
TWB;city;Toowoomba;-27.575:151.947;Australia/Brisbane;Australia;Toowoomba
RHD;city;Rio Hondo;-27.5846786:-64.9534378;America/Argentina/Cordoba;Argentina;Rio Hondo
ODD;city;Oodnadatta;-27.5921087:135.446366;Australia/Adelaide;Australia;Oodnadatta
FLN;city;Florianopolis;-27.5969039:-48.5494544;America/Sao_Paulo;Brazil;Florianopolis
ERM;city;Erechim;-27.629616:-52.2362468;America/Sao_Paulo;Brazil;Erechim
HRZ;city;Horizontina;-27.6301004:-54.3072221;America/Sao_Paulo;Brazil;Horizontina
CRH;city;Cherribah;-27.65:151.95;Australia/Lindeman;Australia;Cherribah
SIS;city;Sishen;-27.65:23.0;Africa/Johannesburg;South Africa;Sishen
INM;city;Innamincka;-27.7075596:140.7392213;Australia/Adelaide;Australia;Innamincka
MZQ;city;Mkuze;-27.7092078:31.7910875;Africa/Johannesburg;South Africa;Mkuze
CWR;city;Cowarie;-27.71:138.33;Australia/Adelaide;Australia;Cowarie
KAX;city;Kalbarri;-27.7110529:114.1645358;Australia/Perth;Australia;Kalbarri
NCS;city;Newcastle;-27.75:29.9333333;Africa/Johannesburg;South Africa;Newcastle
VYD;city;Vryheid;-27.76689:30.79336;Africa/Johannesburg;South Africa;Vryheid
DGD;city;Dalgaranga;-27.77:117.03;Australia/Perth;Australia;Dalgaranga
SDE;city;Santiago Del Estero;-27.78442:-64.2672806;America/Argentina/Cordoba;Argentina;Santiago Del Estero
LAJ;city;Lages;-27.8074063:-50.3200587;America/Fortaleza;Brazil;Lages
PZL;city;Phinda;-27.85:32.31;;South Africa;Phinda
SRA;city;Santa Rosa;-27.8708642:-54.4820243;America/Belem;Brazil;Santa Rosa
LER;city;Leinster;-27.9128383:120.6973818;Australia/Brisbane;Australia;Leinster
SHQ;city;Southport;-27.9673072:153.4145154;Australia/Brisbane;Australia;Southport
WEL;city;Welkom;-27.97612:26.734461;Africa/Johannesburg;South Africa;Welkom
AIW;city;Ai-ais;-27.98:17.58;Africa/Windhoek;Namibia;Ai-ais
NDS;city;Sandstone;-27.989618:119.2965238;Australia/Perth;Australia;Sandstone
XTG;city;Thargomindah;-27.9917476:143.8196627;Australia/Brisbane;Australia;Thargomindah
SFP;city;Surfers Paradise;-28.0011707:153.4283167;Australia/Brisbane;Australia;Surfers Paradise
OOL;city;Gold Coast;-28.0017437:153.4284401;Australia/Brisbane;Australia;Gold Coast
MNE;city;Mungeranie;-28.01:138.66;Australia/Adelaide;Australia;Mungeranie
KAS;city;Karasburg;-28.02186:18.744989;Africa/Windhoek;Namibia;Karasburg
BLS;city;Bollon;-28.0315985:147.4778996;Australia/Brisbane;Australia;Bollon
HLW;city;Hluhluwe;-28.0333333:32.2833333;Africa/Johannesburg;South Africa;Hluhluwe
SGO;city;St George;-28.0385093:148.581936;Australia/Sydney;Australia;St George
MMG;city;Mount Magnet;-28.0652153:117.8484125;Australia/Perth;Australia;Mount Magnet
CMA;city;Cunnamulla;-28.0678858:145.6836102;Australia/Brisbane;Australia;Cunnamulla
MOO;city;Moomba;-28.1130464:140.2052445;Australia/Darwin;Australia;Moomba
OXO;city;Orientos;-28.13:141.53;Australia/Lindeman;Australia;Orientos
WAZ;city;Warwick;-28.2166667:152.0166667;Australia/Brisbane;Australia;Warwick
HRS;city;Harrismith;-28.24:29.11;Africa/Johannesburg;South Africa;Harrismith
PFB;city;Passo Fundo;-28.2611628:-52.4083349;America/Sao_Paulo;Brazil;Passo Fundo
GEL;city;Santo Angelo;-28.3002959:-54.263507;America/Sao_Paulo;Brazil;Santo Angelo
ULD;city;Ulundi;-28.32:31.42;Africa/Johannesburg;South Africa;Ulundi
YLG;city;Yalgoo;-28.345207:116.6823907;Australia/Perth;Australia;Yalgoo
MVK;city;Mulka;-28.35:138.65;Asia/Baghdad;Australia;Mulka
LMR;city;Lime Acres;-28.363951:23.46945;Africa/Johannesburg;South Africa;Lime Acres
DUK;city;Dukuduk;-28.368416:32.248138;Africa/Johannesburg;South Africa;Dukuduk
IJU;city;Ijui;-28.3933594:-53.9137803;America/Sao_Paulo;Brazil;Ijui
UTN;city;Upington;-28.4:21.26;Africa/Johannesburg;South Africa;Upington
CTC;city;Catamarca;-28.4689906:-65.7789716;America/Argentina/Catamarca;Argentina;Catamarca
WND;city;Windarra;-28.48:122.24;Australia/Eucla;Australia;Windarra
MXU;city;Mullewa;-28.5394796:115.5123841;Australia/Perth;Australia;Mullewa
GOO;city;Goondiwindi;-28.5472061:150.3074519;Australia/Sydney;Australia;Goondiwindi
OMD;city;Oranjemund;-28.5516667:16.4263889;Africa/Windhoek;Namibia;Oranjemund
LAY;city;Ladysmith;-28.5596713:29.780789;Africa/Johannesburg;South Africa;Ladysmith
VLR;city;Vallenar;-28.5708333:-70.7580556;America/Santiago;Chile;Vallenar
RTY;city;Merty;-28.58:140.3;Australia/Darwin;Australia;Merty
DRN;city;Dirranbandi;-28.5857525:148.2261116;Australia/Brisbane;Australia;Dirranbandi
ALJ;city;Alexander Bay;-28.60453:16.48712;Africa/Johannesburg;South Africa;Alexander Bay
LVO;city;Laverton;-28.61:122.42;Australia/Perth;Australia;Laverton
CZB;city;Cruz Alta;-28.6394371:-53.6061695;America/Sao_Paulo;Brazil;Cruz Alta
SNH;city;Stanthorpe;-28.6546373:151.9356351;Australia/Brisbane;Australia;Stanthorpe
CCM;city;Criciuma;-28.6782979:-49.3703961;America/Sao_Paulo;Brazil;Criciuma
EMG;city;Empangeni;-28.72:31.89;Africa/Johannesburg;South Africa;Empangeni
KIM;city;Kimberley;-28.72929:24.75404;Africa/Johannesburg;South Africa;Kimberley
ETD;city;Etadunna;-28.74:138.59;Australia/Adelaide;Australia;Etadunna
GET;city;Geraldton;-28.7732192:114.6096326;Australia/Perth;Australia;Geraldton
RCB;city;Richards Bay;-28.7807276:32.0382856;Africa/Johannesburg;South Africa;Richards Bay
LSY;city;Lismore;-28.8166667:153.2833333;Australia/Melbourne;Australia;Lismore
FCB;city;Ficksburg;-28.82:27.91;Africa/Johannesburg;South Africa;Ficksburg
BNK;city;Ballina;-28.8684827:153.560001;Australia/Sydney;Australia;Ballina
LRB;city;Leribe;-28.872497:28.0417238;Africa/Maseru;Lesotho;Leribe
CSI;city;Casino;-28.88:153.07;Australia/Sydney;Australia;Casino
LNO;city;Leonora;-28.8833833:121.3308571;Australia/Perth;Australia;Leonora
LGE;city;Lake Gregory;-28.92:139.0;Australia/Perth;Australia;Lake Gregory
DLK;city;Dulkaninna;-29.01:138.48;Australia/Adelaide;Australia;Dulkaninna
CPD;city;Coober Pedy;-29.0132437:134.7544819;Australia/Adelaide;Australia;Coober Pedy
NLK;city;Norfolk Island;-29.040835:167.954712;Pacific/Norfolk;Norfolk Island;Norfolk Island
EVH;city;Evans Head;-29.1141649:153.4278732;Australia/Brisbane;Australia;Evans Head
BFN;city;Bloemfontein;-29.118349:26.22492;Africa/Johannesburg;South Africa;Bloemfontein
PEL;city;Pelaneng;-29.12:28.5;Africa/Maseru;Lesotho;Pelaneng
OYA;city;Goya;-29.1442242:-59.2643242;America/Argentina/Cordoba;Argentina;Goya
RCQ;city;Reconquista;-29.1448193:-59.6435242;America/Argentina/Cordoba;Argentina;Reconquista
ITQ;city;Itaqui;-29.1525115:-56.5507434;America/Fortaleza;Brazil;Itaqui
CXJ;city;Caxias Do Sul;-29.1678244:-51.179383;America/Sao_Paulo;Brazil;Caxias Do Sul
BGV;city;Bento Goncalves;-29.1738991:-51.5185113;America/Sao_Paulo;Brazil;Bento Goncalves
MWB;city;Morawa;-29.2110455:116.0092433;Australia/Perth;Australia;Morawa
MDX;city;Mercedes;-29.22:-58.09;America/Argentina/Buenos_Aires;Argentina;Mercedes
TKO;city;Tlokoeng;-29.23:28.88;Africa/Maseru;Lesotho;Tlokoeng
DOX;city;Dongara;-29.2512809:114.9346212;Australia/Perth;Australia;Dongara
SHZ;city;Seshutes;-29.27:28.55;Africa/Maseru;Lesotho;Seshutes
AGZ;city;Aggeneys;-29.28:18.81;Africa/Johannesburg;South Africa;Aggeneys
MKH;city;Mokhotlong;-29.2916064:29.0673452;Africa/Maseru;Lesotho;Mokhotlong
MSU;city;Maseru;-29.3141863:27.4832633;Africa/Maseru;Lesotho;Maseru
TCU;city;Thaba Nchu;-29.32:26.82;Africa/Johannesburg;South Africa;Thaba Nchu
IRJ;city;La Rioja;-29.4128001:-66.8559803;America/Argentina/La_Rioja;Argentina;La Rioja
LHG;city;Lightning Ridge;-29.427789:147.9789634;Australia/Sydney;Australia;Lightning Ridge
TYB;city;Tibooburra;-29.4292909:142.0106962;Australia/Sydney;Australia;Tibooburra
MRZ;city;Moree;-29.4643519:149.8415113;Australia/Sydney;Australia;Moree
CRB;city;Collarenebri;-29.5448559:148.5763188;Australia/Sydney;Australia;Collarenebri
PZB;city;Pietermaritzburg;-29.6189891:30.383978;Africa/Johannesburg;South Africa;Pietermaritzburg
THB;city;Thaba-Tseka;-29.6215585:28.4863963;Africa/Maseru;Lesotho;Thaba-Tseka
RRE;city;Marree;-29.6463756:138.0711741;Australia/Adelaide;Australia;Marree
PRK;city;Prieska;-29.68:22.77;Africa/Johannesburg;South Africa;Prieska
RIA;city;Santa Maria;-29.6858073:-53.8074871;America/Santarem;Brazil;Santa Maria
KLZ;city;Kleinzee;-29.69:17.09;Africa/Johannesburg;South Africa;Kleinzee
SBU;city;Springbok;-29.69:17.94;Africa/Johannesburg;South Africa;Springbok
GFN;city;Grafton;-29.6911226:152.9331993;Australia/Sydney;Australia;Grafton
AOL;city;Paso De Los Libres;-29.7137101:-57.0855601;America/Argentina/Cordoba;Argentina;Paso De Los Libres
CSU;city;Santa Cruz Do Sul;-29.7239918:-52.4360443;America/Sao_Paulo;Brazil;Santa Cruz Do Sul
SHK;city;Sehonghong;-29.73:28.77;Africa/Maseru;Lesotho;Sehonghong
GLI;city;Glen Innes;-29.7376638:151.7402506;Australia/Sydney;Australia;Glen Innes
URG;city;Uruguaiana;-29.7495012:-57.0882077;America/Sao_Paulo;Brazil;Uruguaiana
IVR;city;Inverell;-29.7762792:151.1134357;Australia/Sydney;Australia;Inverell
LES;city;Lesobeng;-29.78:28.32;Africa/Maseru;Lesotho;Lesobeng
LEF;city;Lebakeng;-29.783333:28.583333;Africa/Maseru;Lesotho;Lebakeng
ALQ;city;Alegrete;-29.7848016:-55.775657;America/Fortaleza;Brazil;Alegrete
UZU;city;Curuzu Cuatia;-29.7915416:-58.0499307;America/Argentina/Cordoba;Argentina;Curuzu Cuatia
MSG;city;Matsaile;-29.81:28.81;Africa/Maseru;Lesotho;Matsaile
MFC;city;Mafeteng;-29.8221886:27.2382572;Africa/Maseru;Lesotho;Mafeteng
ENB;city;Eneabba West;-29.83:115.25;Australia/Eucla;Australia;Eneabba West
SOK;city;Semongkong;-29.84:28.06;Asia/Jakarta;Lesotho;Semongkong
DUR;city;Durban;-29.857876:31.027581;Africa/Johannesburg;South Africa;Durban
CRR;city;Ceres;-29.8828106:-61.9491615;America/Argentina/Cordoba;Argentina;Ceres
LSC;city;La Serena;-29.90078:-71.244766;America/Santiago;Chile;La Serena
MWT;city;Moolawatana;-29.91:139.77;Australia/Adelaide;Australia;Moolawatana
GCV;city;Gravatai;-29.9357237:-51.0165907;+0.0;Brazil;Gravatai
BWQ;city;Brewarrina;-29.9623829:146.86118;Australia/Sydney;Australia;Brewarrina
COW;city;Coquimbo;-29.966565:-71.33327;America/Santiago;Chile;Coquimbo
SIZ;city;Sissano;-3.0:142.03;Pacific/Port_Moresby;Papua New Guinea;Sissano
BWP;city;Bewani;-3.02:141.15;Pacific/Port_Moresby;Papua New Guinea;Bewani
LNV;city;Lihir Island;-3.0896243:152.5678548;Pacific/Port_Moresby;Papua New Guinea;Lihir Island
MAO;city;Manaus;-3.1064093:-60.0264297;America/Santarem;Brazil;Manaus
LHI;city;Lereh;-3.13:139.93;Asia/Jayapura;Indonesia;Lereh
ITA;city;Itacoatiara;-3.1419812:-58.442635;America/Manaus;Brazil;Itacoatiara
ATM;city;Altamira;-3.1962012:-52.2123383;America/Fortaleza;Brazil;Altamira
MYD;city;Malindi;-3.216434:40.109249;Africa/Dar_es_Salaam;Kenya;Malindi
WAR;city;Waris;-3.23:140.97;Asia/Jayapura;Indonesia;Waris
TBM;city;Tumbang Samba;-3.25:112.583333;Asia/Jakarta;Indonesia;Tumbang Samba
NAM;city;Namlea;-3.25:127.08;Asia/Jayapura;Indonesia;Namlea
DRH;city;Dabra;-3.25:138.57;Asia/Jayapura;Indonesia;Dabra
MCH;city;Machala;-3.266499:-79.953827;America/Guayaquil;Ecuador;Machala
PDO;city;Pendopo;-3.29:103.88;Asia/Jakarta;Indonesia;Pendopo
FDU;city;Bandundu;-3.315234:17.385599;Africa/Kinshasa;Democratic Republic of the Congo;Bandundu
IMD;city;Imonda;-3.32:141.15;Pacific/Port_Moresby;Papua New Guinea;Imonda
TFF;city;Tefe;-3.3207288:-64.7235833;America/Manaus;Brazil;Tefe
NUG;city;Nuguria;-3.33333:154.75;Pacific/Port_Moresby;Papua New Guinea;Nuguria
AHI;city;Amahai;-3.35:128.93;Asia/Jayapura;Indonesia;Amahai
ARK;city;Arusha;-3.365789:36.67445;Africa/Dar_es_Salaam;Tanzania;Arusha
NBX;city;Nabire;-3.37:135.5;Asia/Jayapura;Indonesia;Nabire
BOV;city;Boang;-3.372299:153.332305;Asia/Pontianak;Papua New Guinea;Boang
BJM;city;Bujumbura;-3.376217:29.359349;Africa/Bujumbura;Burundi;Bujumbura
MBZ;city;Maues;-3.3817336:-57.7151935;America/Manaus;Brazil;Maues
BDJ;city;Banjarmasin;-3.3959717:114.5850799;Asia/Jakarta;Indonesia;Banjarmasin
KBU;city;Kotabaru;-3.4:116.22;Asia/Jakarta;Indonesia;Kotabaru
BTW;city;Batu Licin;-3.41:116.0;Asia/Makassar;Indonesia;Batu Licin
TTR;city;Tana Toraja;-3.416667:119.916667;Asia/Makassar;Indonesia;Tana Toraja
MYB;city;Mayoumba;-3.425322:10.657187;Africa/Libreville;Gabon;Mayoumba
GID;city;Gitega;-3.429664:29.92979;Africa/Bujumbura;Burundi;Gitega
JRO;city;Kilimanjaro;-3.43:37.07;Africa/Dar_es_Salaam;Tanzania;Kilimanjaro
SEH;city;Senggeh;-3.45:140.77;Asia/Kuala_Lumpur;Indonesia;Senggeh
LMI;city;Lumi;-3.47:142.03;Pacific/Port_Moresby;Papua New Guinea;Lumi
KMK;city;Makabana;-3.48:12.62;Africa/Brazzaville;Republic of the Congo;Makabana
MWN;city;Mwadui;-3.5:33.62;Africa/Dar_es_Salaam;Tanzania;Mwadui
LJA;city;Lodja;-3.5241667:23.5963889;Africa/Lubumbashi;Democratic Republic of the Congo;Lodja
AKG;city;Anguganak;-3.55:142.22;Pacific/Port_Moresby;Papua New Guinea;Anguganak
TBP;city;Tumbes;-3.5666667:-80.45;America/Lima;Peru;Tumbes
AMU;city;Amanab;-3.58:141.2;Pacific/Port_Moresby;Papua New Guinea;Amanab
GUE;city;Guriaso;-3.58:141.58;Pacific/Port_Moresby;Papua New Guinea;Guriaso
WWK;city;Wewak;-3.58:143.67;Pacific/Port_Moresby;Papua New Guinea;Wewak
LKY;city;Lake Manyara;-3.6033141:35.784354;Africa/Dar_es_Salaam;Tanzania;Lake Manyara
KDQ;city;Kamberatoro;-3.62:141.07;Pacific/Port_Moresby;Papua New Guinea;Kamberatoro
RUF;city;Yuruf;-3.63:140.95;Asia/Jakarta;Indonesia;Yuruf
HYF;city;Hayfields;-3.633333:143.05;Pacific/Port_Moresby;Papua New Guinea;Hayfields
KNG;city;Kaimana;-3.660925:133.774506;Asia/Jayapura;Indonesia;Kaimana
SHY;city;Shinyanga;-3.664875:33.42115;Africa/Dar_es_Salaam;Tanzania;Shinyanga
PUM;city;Pomala;-3.67:119.8;Asia/Makassar;Indonesia;Pomala
UBR;city;Ubrub;-3.67:140.87;Asia/Jayapura;Indonesia;Ubrub
UKU;city;Nuku;-3.67:142.48;Pacific/Port_Moresby;Papua New Guinea;Nuku
ATN;city;Namatanai;-3.67:152.43;Pacific/Port_Moresby;Papua New Guinea;Namatanai
SIB;city;Sibiti;-3.68:13.35;Africa/Brazzaville;Republic of the Congo;Sibiti
BUI;city;Bokondini;-3.7:138.63;Asia/Jayapura;Indonesia;Bokondini
AMQ;city;Ambon;-3.7068937:128.1626039;Asia/Jayapura;Indonesia;Ambon
FOR;city;Fortaleza;-3.7183943:-38.5433948;America/Bahia;Brazil;Fortaleza
LII;city;Mulia;-3.72:137.95;Asia/Jayapura;Indonesia;Mulia
LLN;city;Kelila;-3.72:138.7;Asia/Jayapura;Indonesia;Kelila
BDI;city;Bird Island;-3.72:55.21;Indian/Mahe;Seychelles;Bird Island
UGU;city;Zugapa;-3.73:137.02;Asia/Jakarta;Indonesia;Zugapa
IQT;city;Iquitos;-3.75:-73.25;America/Lima;Peru;Iquitos
IUL;city;Ilu;-3.75:138.08;Africa/Addis_Ababa;Indonesia;Ilu
KBF;city;Karubaga;-3.75:138.33;Asia/Jayapura;Indonesia;Karubaga
TUR;city;Tucurui;-3.7695276:-49.6741093;America/Santarem;Brazil;Tucurui
BKS;city;Bengkulu;-3.800649:102.256203;Asia/Jakarta;Indonesia;Bengkulu
DEI;city;Denis Island;-3.8022222:55.6669444;Indian/Mahe;Seychelles;Denis Island
NRE;city;Namrole;-3.82:126.72;Asia/Jayapura;Indonesia;Namrole
ELR;city;Elelim;-3.82:140.07;Asia/Jakarta;Indonesia;Elelim
NKD;city;Sinak;-3.83:137.83;Asia/Kabul;Indonesia;Sinak
FEN;city;Fernando De Noronha;-3.85:-32.42;America/Noronha;Brazil;Fernando De Noronha
SPV;city;Sepik Plains;-3.88:143.67;Pacific/Port_Moresby;Papua New Guinea;Sepik Plains
XYR;city;Yellow River;-3.883333:141.783333;Pacific/Port_Moresby;Papua New Guinea;Yellow River
GVI;city;Green River;-3.8958541:141.1872993;Pacific/Port_Moresby;Papua New Guinea;Green River
AAS;city;Apalapsili;-3.916667:139.25;Asia/Jayapura;Indonesia;Apalapsili
OBD;city;Obano;-3.92:136.22;Asia/Jayapura;Indonesia;Obano
EWI;city;Enarotali;-3.93:136.38;Asia/Jayapura;Indonesia;Enarotali
TMY;city;Tiom;-3.95:138.43;Asia/Jayapura;Indonesia;Tiom
KNJ;city;Kindamba;-3.95:14.52;Africa/Brazzaville;Republic of the Congo;Kindamba
KDI;city;Kendari;-3.957962:122.5713329;Asia/Makassar;Indonesia;Kendari
TUZ;city;Tucuma;-3.97:-66.43;America/Manaus;Brazil;Tucuma
ONI;city;Moanamani;-3.97:136.08;Asia/Jayapura;Indonesia;Moanamani
BMQ;city;Bamburi;-3.97:39.72;Africa/Nairobi;Kenya;Bamburi
ILA;city;Illaga;-3.98:137.65;Asia/Jayapura;Indonesia;Illaga
LOH;city;Catamayo;-3.9887495:-79.3567581;America/Guayaquil;Ecuador;Catamayo
NKU;city;Nkaus;-30.02:28.2;Africa/Maseru;Lesotho;Nkaus
WGE;city;Walgett;-30.0211868:148.1167294;Australia/Sydney;Australia;Walgett
POA;city;Porto Alegre;-30.0277041:-51.2287346;America/Sao_Paulo;Brazil;Porto Alegre
SKQ;city;Sekakes;-30.04:28.37;Africa/Maseru;Lesotho;Sekakes
BRK;city;Bourke;-30.0901088:145.9375458;Australia/Sydney;Australia;Bourke
UNE;city;Qachas Nek;-30.1186489:28.6916304;Africa/Maseru;Lesotho;Qachas Nek
KIG;city;Koinghaas;-30.19:17.28;Africa/Johannesburg;South Africa;Koinghaas
MCS;city;Monte Caseros;-30.2494283:-57.6296874;America/Argentina/Cordoba;Argentina;Monte Caseros
BUV;city;Bella Union;-30.25771:-57.59483;America/Montevideo;Uruguay;Bella Union
WEW;city;Wee Waa;-30.26:149.41;Australia/Sydney;Australia;Wee Waa
CFS;city;Coffs Harbour;-30.2963121:153.1156722;Australia/Brisbane;Australia;Coffs Harbour
JUR;city;Jurien Bay;-30.3:115.06;Australia/Perth;Australia;Jurien Bay
NAA;city;Narrabri;-30.3250572:149.7829808;Australia/Sydney;Australia;Narrabri
UTG;city;Quthing;-30.4105544:27.6998375;Africa/Maseru;Lesotho;Quthing
ADO;city;Andamooka;-30.4498651:137.1635473;Australia/Adelaide;Australia;Andamooka
OLP;city;Olympic Dam;-30.4758769:136.88776;Australia/Darwin;Australia;Olympic Dam
ATI;city;Artigas;-30.4880891:-57.1013188;America/Montevideo;Uruguay;Artigas
ARM;city;Armidale;-30.5143425:151.6669644;Australia/Sydney;Australia;Armidale
LCN;city;Balcanoona;-30.54:139.34;Australia/Adelaide;Australia;Balcanoona
LGH;city;Leigh Creek;-30.5963083:138.404454;Australia/Adelaide;Australia;Leigh Creek
OVL;city;Ovalle;-30.6:-71.2;America/Santiago;Chile;Ovalle
NBH;city;Nambucca Heads;-30.6422966:153.0030524;Australia/Brisbane;Australia;Nambucca Heads
MVH;city;Macksville;-30.7066827:152.9209851;Australia/Sydney;Australia;Macksville
TAQ;city;Tarcoola;-30.7093372:134.564603;Australia/Adelaide;Australia;Tarcoola
KGI;city;Kalgoorlie;-30.7470155:121.4748548;Australia/Perth;Australia;Kalgoorlie
LVB;city;Livramento;-30.84:-55.63;America/Belem;Brazil;Livramento
FOS;city;Forrest;-30.84:128.12;Australia/Perth;Australia;Forrest
MGH;city;Margate;-30.851339:30.37871;Africa/Johannesburg;South Africa;Margate
RVY;city;Rivera;-30.905337:-55.550759;America/Montevideo;Uruguay;Rivera
CNB;city;Coonamble;-30.9524519:148.3886868;Australia/Sydney;Australia;Coonamble
GUH;city;Gunnedah;-30.97681:150.2516925;Australia/Sydney;Australia;Gunnedah
LCM;city;La Cumbre;-30.9820709:-64.4909058;America/Argentina/Cordoba;Argentina;La Cumbre
WLC;city;Walcha;-30.9851893:151.5924853;Australia/Sydney;Australia;Walcha
KPS;city;Kempsey;-31.082:152.835;Australia/Sydney;Australia;Kempsey
TMW;city;Tamworth;-31.091085:150.9303741;Australia/Sydney;Australia;Tamworth
KDB;city;Kambalda;-31.19:121.6;Australia/Perth;Australia;Kambalda
UMR;city;Woomera;-31.2006841:136.825919;Australia/Adelaide;Australia;Woomera
SQC;city;Southern Cross;-31.2323294:119.3310295;Australia/Perth;Australia;Southern Cross
MZF;city;Mzamba;-31.25:29.83;Africa/Johannesburg;South Africa;Mzamba
COJ;city;Coonabarabran;-31.2739131:149.2774205;Australia/Sydney;Australia;Coonabarabran
BGX;city;Bage;-31.328502:-54.1072699;America/Sao_Paulo;Brazil;Bage
SQY;city;Sao Lourenco Do Sul;-31.3628567:-51.9788568;America/Sao_Paulo;Brazil;Sao Lourenco Do Sul
LUJ;city;Lusikisiki;-31.37:29.58;Africa/Johannesburg;South Africa;Lusikisiki
COC;city;Concordia;-31.3918479:-58.0170605;America/Argentina/Cordoba;Argentina;Concordia
STY;city;Salto;-31.39566:-57.962769;America/Montevideo;Uruguay;Salto
COR;city;Cordoba;-31.3989296:-64.1821289;America/Argentina/Cordoba;Argentina;Cordoba
PQQ;city;Port Macquarie;-31.4333333:152.9;Australia/Sydney;Australia;Port Macquarie
NUR;city;Nullarbor;-31.44:130.9;Australia/Adelaide;Australia;Nullarbor
